DATA,DATA,ESTADO,CIDADE,CONFIRMADOS,FATAIS
2020-03-14 00:00:00,2020-03-14 00:00:00,SC,RANCHO QUEIMADO,2,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SE,ARACAJU,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SP,CARAPICUÍBA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SP,FERRAZ DE VASCONCELOS,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SP,SÃO PAULO,62,0
2020-03-15 00:00:00,2020-03-15 00:00:00,AL,MACEIÓ,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,AM,MANAUS,2,0
2020-03-15 00:00:00,2020-03-15 00:00:00,BA,FEIRA DE SANTANA,5,0
2020-03-15 00:00:00,2020-03-15 00:00:00,BA,SALVADOR,4,0
2020-03-15 00:00:00,2020-03-15 00:00:00,DF,BRASÍLIA,14,0
2020-03-15 00:00:00,2020-03-15 00:00:00,ES,INDEFINIDA,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,GO,GOIÂNIA,3,0
2020-03-15 00:00:00,2020-03-15 00:00:00,GO,RIO VERDE,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,MG,IPATINGA,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,MG,JUIZ DE FORA,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,MG,PATROCÍNIO,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,MS,CAMPO GRANDE,2,0
2020-03-15 00:00:00,2020-03-15 00:00:00,PE,INDEFINIDA,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,PE,RECIFE,7,0
2020-03-15 00:00:00,2020-03-15 00:00:00,PR,CIANORTE,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,PR,CURITIBA,5,0
2020-03-15 00:00:00,2020-03-15 00:00:00,RJ,BARRA MANSA,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,RJ,NITERÓI,1,0
2020-03-15 00:00:00,2020-03-15 00:00:00,RJ,RIO DE JANEIRO,22,0
2020-03-15 00:00:00,2020-03-15 00:00:00,RN,NATAL,1,0
